source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S013,"Helpberries","marketplace_page","Helpberries","Фулфилмент для Wildberries","https://helpberries.ru/fulfilment-wb","","2026-09-18","primary","owned","active","Проверка брака, фотофиксация, FBO/FBS"
S014,"Helpberries","case","Helpberries","Производитель косметики вышел на Ozon и Wildberries","https://helpberries.ru/cases/fulfilment-kosmetika-helpberries","","2026-09-18","primary","owned","active","Жидкая продукция, FBO/FBS, 400+ заказов/сутки"
S015,"Helpberries","case","Helpberries","Фулфилмент косметического бренда: автоматизация упаковки","https://helpberries.ru/fulfilment-dlya-kosmeticheskogo-brenda-avtomatizatsiya","","2026-09-18","primary","owned","active","250+ SKU, близкая категория"
S016,"Нитропак","service_page","Нитропак","Фулфилмент для бытовых товаров","https://nitropack.ru/fulfillment-bytovye-tovary","","2026-09-18","primary","owned","active","Жидкости, защита от протечек, термоусадка"
S017,"Нитропак","price_page","Нитропак","Прайс и тарифы","https://nitropack.ru/prices","2026-08-07","2026-09-18","primary","owned","active","Открытые тарифы"
S018,"Нитропак","company_page","Нитропак","О компании","https://nitropack.ru/about","","2026-09-18","primary","owned","active","WMS, 300000+ единиц/мес, склад 1000 м2"
S019,"Техскладлогистик","service_page","ТСЛ","Фулфилмент под ключ","https://tslog.ru/service/fulfilment/","","2026-09-18","primary","owned","active","Одинцово, WMS, полный цикл, прайс"
S020,"Техскладлогистик","service_page","ТСЛ","Формирование наборов","https://tslog.ru/service/skladskaya-logistika/formirovanie-naborov/","","2026-09-18","primary","owned","active","Прямо принимает неопасную автохимию"
S021,"Техскладлогистик","price_page","ТСЛ","Цена за услуги фулфилмента","https://tslog.ru/service/fulfilment/_price/","","2026-09-18","primary","owned","active","Прайс, автохимия (неопасная), автомобильная индустрия"
S022,"Техскладлогистик","automation_page","ТСЛ","Автоматическая система хранения","https://tslog.ru/service/skladskaya-logistika/avtomaticheskaya-sistema-hraneniya/","","2026-09-18","primary","owned","active","Автоматизированное хранение и онлайн-остатки"
S023,"ПроФасовка","company_page","ПроФасовка","Фасовка и упаковка","https://uslugi-fasovki.ru/","","2026-09-18","primary","owned","active","Химические составы, трехступенчатый контроль герметичности"
S024,"ПроФасовка","service_page","ПроФасовка","Фулфилмент для маркетплейсов","https://uslugi-fasovki.ru/fulfilment-dlya-marketplejsov","","2026-09-18","primary","owned","active","Бытовая химия, защита от протечек, косметика, агрохимия"
S025,"ПроФасовка","production_page","ПроФасовка","Смешивание препаратов","https://uslugi-fasovki.ru/smeshivanie-preparatov","","2026-09-18","primary","owned","active","Производство и склад МО, жидкие препараты"
S026,"Кактус","company_page","Кактус","Фулфилмент полного цикла","https://kak2c.ru/","","2026-09-18","primary","owned","active","FBO/FBS, единый сток, личный кабинет"
S027,"Кактус","tariff_page","Кактус","Тарифы","https://kak2c.ru/tariffs/","","2026-09-18","primary","owned","active","ВПП/короб/стрейч, визуальный осмотр, открытые цены"
S028,"Кактус","article","Кактус","Как работают с браком на складах","https://kak2c.ru/blog/post/kak-rabotayut-s-brakom-na-skladah-professionalnyh-fulfilment-operatorov/","2023","2026-09-18","primary","owned","active","Протечка жидких товаров, бытовой химии, автохимии"
S029,"Кактус","b2b_page","Кактус","Фулфилмент B2B","https://kak2c.ru/fulfilment-b2b/","","2026-09-18","primary","owned","active","145000 м2, крупные объемы, FBO/FBS/DBS"
S030,"FULFILLYOU","service_page","FULFILLYOU","Услуги фулфилмента","https://fulfillyou.ru/services","","2026-09-18","primary","owned","active","100000+ ед./день, 40000+ паллетомест"
S031,"FULFILLYOU","service_page","FULFILLYOU","Фулфилмент для продавцов","https://fulfillyou.ru/fulfilment-for-sellers","","2026-09-18","primary","owned","active","FBO/FBS, осмотр, упаковка, тарифы"
S032,"FULFILLYOU","packaging_page","FULFILLYOU","Упаковка товаров для маркетплейсов","https://fulfillyou.ru/upakovka-tovarov-dlya-marketplejsov","","2026-09-18","primary","owned","active","ВПП, термоусадка, цены"
S033,"FullBox","service_page","FullBox","Косметика и парфюмерия под ключ","https://fullbox.ru/fulfilment-kosmetika/","","2026-09-18","primary","owned","active","Контроль герметичности, защитная упаковка, WMS"
S034,"FullBox","company_page","FullBox","Фулфилмент для селлеров","https://fullbox.ru/","","2026-09-18","primary","owned","active","WMS, WB/Ozon, 250+ клиентов"
S035,"FullBox","warehouse_page","FullBox","Склад и упаковочное оборудование","https://fullbox.ru/sklad/","","2026-09-18","primary","owned","active","Упаковочное оборудование"
S036,"U2Pack","service_page","U2Pack","Упаковка косметики","https://u2pack.ru/upakovka-tovara/upakovka-kosmetiki/","","2026-09-18","primary","owned","active","ВПП, термоусадка, наборы, до 30000 ед./смену"
S037,"U2Pack","service_page","U2Pack","Упаковка для маркетплейсов","https://u2pack.ru/upakovka-tovara/marketpleysy-rossii/","","2026-09-18","primary","owned","active","FBO/FBS/DBS, DataMatrix"
S038,"E-Fulfillment","company_page","E-Fulfillment","Фулфилмент для маркетплейсов","https://www.e-fulfillment.ru/","","2026-09-18","primary","owned","active","4600 м2, FBO/FBS, ЧЗ"
S039,"E-Fulfillment","service_page","E-Fulfillment","Обработка товаров","https://e-fulfillment.ru/goods-processing","","2026-09-18","primary","owned","active","ВПП, термоусадка, проверка брака, фотофиксация"
S040,"E-Fulfillment","article","E-Fulfillment","Фотофиксация приемки и отгрузки","https://blog.e-fulfillment.ru/fotofiksaciya-priemki-otgruzki/","2026-06-04","2026-09-18","primary","owned","active","Фотофиксация брака и состояния"
S041,"Будет сделано!","company_page","Будет сделано!","Фулфилмент для маркетплейсов в Москве","https://willbedone.pro/","","2026-09-18","primary","owned","active","5000 ед./день, контроль, Москва"
S042,"Будет сделано!","service_page","Будет сделано!","Фулфилмент под ключ","https://willbedone.pro/fulfilment-pod-klyuch/","","2026-09-18","primary","owned","active","ВПП, термоусадка, наборы, FBO/FBS"
S043,"Будет сделано!","fbs_page","Будет сделано!","FBS для маркетплейсов","https://willbedone.pro/fulfilment-fbs/","","2026-09-18","primary","owned","active","WMS, 2 отгрузки/день, 99.94% точность"
S044,"9Gramm","price_page","9Gramm","Цены на услуги","https://9gramm.com/price","","2026-09-18","primary","owned","active","ВПП, термоусадка, проверка, прайс"
S045,"9Gramm","company_page","9Gramm","Фулфилмент для маркетплейсов","https://9gramm.com/","","2026-09-18","primary","owned","active","Контроль, учет, FBO; FBS временно ограничен"
S046,"FullMark","company_page","FullMark","Фулфилмент WB, Ozon, Яндекс Маркет","https://full-mark.ru/","","2026-09-18","primary","owned","active","Косметика и бытовая химия, герметичность, защита от протечек"
S047,"PREP-T011","prior_publication","Sostav","ТОП-10 фулфилментов для автохимии и автокосметики","https://www.sostav.ru/blogs/292167/104285","2026-08-27","2026-09-18","secondary","independent_platform","active","Provenance и market recall, не scoring factor"
S048,"PREP-T011","prior_publication","TenChat","ТОП-10 фулфилментов автохимии и автокосметики","https://tenchat.ru/media/5989242-top10-fulfilmentov-avtokhimii-i-avtokosmetiki-wbozon-moskva-i-mo-avgust-2026","2026-08","2026-09-18","secondary","independent_platform","active","Provenance, не scoring factor"
S049,"Wildberries","official_marketplace","Wildberries","Как правильно упаковать разные виды товаров","https://seller.wildberries.ru/instructions/ru/ru/material/how-to-pack-different-items-properly","","2026-09-18","primary","institutional","active","Контекст упаковки автохимии, технических жидкостей и наборов"
